index;nome;url;preco;preco_pix;preco_por_gb;modulos;capacidade;hash;2025-11-19;2025-11-20;2025-11-21;2025-11-22;2025-11-23;2025-11-24;2025-11-25;2025-11-26;2025-11-27;2025-11-28;2025-11-29;2025-11-30;2025-12-01;2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-06;2025-12-07;2025-12-08;2025-12-09;2025-12-10;2025-12-11;2025-12-12;2025-12-13;2025-12-14;2025-12-15;2025-12-16;2025-12-17;2025-12-18;2025-12-19;2025-12-20;2025-12-21;2025-12-22;2025-12-23;2025-12-24;2025-12-25;2025-12-26;2025-12-27;2025-12-28;2025-12-29;2025-12-30;2025-12-31;2026-01-01;2026-01-02;2026-01-03;2026-01-04;2026-01-05;2026-01-06;2026-01-07;2026-01-08;2026-01-09;2026-01-10;2026-01-11;2026-01-12;2026-01-13;2026-01-14;2026-01-15;2026-01-16;2026-01-17;2026-01-18;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-24;2026-01-25;2026-01-26;2026-01-27;2026-01-28;2026-01-29;2026-01-30;2026-01-31;2026-02-01;2026-02-02;2026-02-03;2026-02-04;2026-02-05;2026-02-06;2026-02-07;2026-02-08;2026-02-09;2026-02-10;2026-02-11;2026-02-12;2026-02-13;2026-02-14;2026-02-15;2026-02-16;2026-02-17;2026-02-18;2026-02-19;2026-02-20;2026-02-21;2026-02-22;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-02-28;2026-03-01;2026-03-02;2026-03-03;2026-03-04;2026-03-05;2026-03-06;2026-03-07;2026-03-08;2026-03-09;2026-03-10;2026-03-11;2026-03-12;2026-03-13;2026-03-14;2026-03-15;2026-03-16;2026-03-17;2026-03-18;2026-03-19;2026-03-20;2026-03-21;2026-03-22;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-28;2026-03-29;2026-03-30;2026-03-31;2026-04-01;2026-04-02;2026-04-03;2026-04-04;2026-04-05;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-10;2026-04-11;2026-04-12;2026-04-13;2026-04-14;2026-04-15;2026-04-16;2026-04-17;2026-04-18;2026-04-19;2026-04-20;2026-04-21;2026-04-22;2026-04-23;2026-04-24;2026-04-25;2026-04-26;2026-04-27;2026-04-28;2026-04-29;2026-04-30;2026-05-01;2026-05-02;2026-05-03;2026-05-04;2026-05-05;2026-05-06;2026-05-07;2026-05-08;2026-05-09;2026-05-10;2026-05-11;2026-05-12;2026-05-13;2026-05-14;2026-05-15;2026-05-16;2026-05-17;2026-05-18
12;Kingston Fury Beast RGB (RGB);https://meupc.net/peca/Hfa2F6/memoria-kingston-fury-beast-rgb-kf432c16bb2ak216;1976.46;1679.99;105.0;2x8 GB;16;Hfa2F6;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;659.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;709.99;;;;;709.99;;;;;;799.99;;;;;;;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1299.99;1599.99;1599.99;1599.99;1599.99;1599.99;1599.99;1579.00;1579.00;1579.00;1099.99;1099.99;1099.99;1099.99;1579.00;1579.00;1579.00;1579.00;1579.00;1579.00;1579.00;1249.99;1249.99;1149.99;1049.99;1049.99;1049.99;1049.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1039.90;1039.90;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1049.90;1049.90;1149.99;1149.99;1149.99;1149.99;1149.99;1149.99;1399.99;1399.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1299.99;1099.90;1099.90;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99;1679.99
14;XPG GAMMIX D35 (Preto);https://meupc.net/peca/Wxi42I/memoria-xpg-gammix-d35-ax4u320016g16asbkd35;1235.20;1049.99;65.62;1x16 GB;16;Wxi42I;688.41;449.99;305.75;680.31;680.31;680.31;680.31;680.31;680.31;;;;;;;;;;;;;802.30;709.99;709.99;709.99;709.99;709.99;709.99;709.99;599.99;599.99;599.99;599.99;599.99;679.99;716.99;716.99;716.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;664.99;579.99;579.99;716.99;799.99;799.99;799.99;799.99;799.99;829.99;829.99;799.99;659.99;799.99;999.99;874.90;659.99;659.99;874.90;874.90;874.90;874.90;984.90;829.99;829.99;854.99;829.99;829.99;829.99;829.99;799.99;854.99;854.99;854.99;854.99;854.99;854.99;778.99;778.99;778.99;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;784.99;784.99;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;787.90;699.90;699.90;787.90;787.90;829.99;829.99;829.99;829.99;829.99;829.99;999.99;999.99;999.99;999.99;999.99;999.90;999.99;999.99;999.99;1099.99;999.99;999.99;999.99;999.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;899.99;899.99;849.99;849.99;849.99;849.99;849.90;849.90;839.90;839.90;984.90;984.90;984.90;984.90;1089.99;1089.99;1089.99;899.99;899.99;899.99;899.99;999.99;999.99;999.99;889.90;889.90;889.90;848.99;848.99;848.99;848.99;848.99;1049.99;1049.99;1049.99
15;Corsair Corsair Vengeance RGB Pro (RGB);https://meupc.net/peca/rYyC27/memoria-corsair-vengeance-rgb-pro-cmw16gx4m2c3200c16;1482.34;1259.99;78.75;2x8 GB;16;rYyC27;;;;;;639.99;615.00;499.00;;799.00;799.00;799.00;799.00;799.00;799.00;799.00;799.00;799.00;799.00;799.00;685.00;685.00;;;;;;;;;;;;;;;;;;;750.00;750.00;1198.99;1198.99;1198.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1299.99;1299.99;1299.99;1299.99;1299.99;1298.99;1298.99;1298.99;1298.99;1499.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1399.99;1398.99;1398.99;1398.99;1329.90;1329.90;1329.90;1329.90;1329.90;1329.90;1398.99;1398.99;1398.99;1148.99;1198.99;1198.99;1198.99;1198.99;1399.99;1399.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1298.99;1211.52;1211.52;1199.00;1199.00;1211.52;1211.52;1211.52;1260.02;1260.02;1260.02;1260.02;1299.00;1099.00;1099.00;1099.00;899.00;899.00;1211.52;1211.52;1211.52;1211.52;1211.52;1211.52;1211.52;1259.99;1259.99;1259.99;1259.99;1245.68;1245.68;1245.68;1245.68;1245.68;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99;1259.99
16;Geil Orion (Cinza);https://meupc.net/peca/XhhF2H/memoria-geil-orion-gaog416gb3200c22sc;1176.46;999.99;62.5;1x16 GB;16;XhhF2H;;;;;;349.99;;;;;;;309.99;;;;;;;;439.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1059.99;1059.99;1059.99;1009.99;1009.99;1009.99;1009.99;1009.99;1009.99;1009.99;1009.99;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;999.90;799.90;799.90;999.90;989.90;989.90;989.90;989.90;989.90;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;849.99;799.90;799.90;799.90;799.90;799.90;849.99;849.99;849.99;849.99;849.99;849.99;849.99;849.99;599.90;999.99;999.99;1159.00;799.90;799.90;799.99;799.99;999.99;799.90;799.90;799.90;799.90
18;Hiksemi Hiker (Preto);https://meupc.net/peca/NoDI6O/memoria-hiksemi-hiker-hsc416u32z1;941.16;799.99;50.0;1x16 GB;16;NoDI6O;419.00;349.99;329.99;329.99;329.99;349.99;349.99;349.99;429.99;429.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;359.99;449.00;449.00;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;499.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;799.99;799.99;799.99
19;Corsair Vengeance LPX (Preto);https://meupc.net/peca/5z60tV/memoria-corsair-vengeance-lpx-cmk16gx4m1e3200c16;899.00;899.00;56.19;1x16 GB;16;5z60tV;499.99;499.99;499.99;549.99;549.99;549.99;549.99;549.99;549.99;549.99;399.99;399.99;399.99;;;;;;;;;;;;642.99;642.99;642.99;642.99;642.99;;642.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1109.90;1109.90;1109.90;1109.90;1109.90;1109.90;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1199.99;1139.99;1139.99;1139.99;1139.99;1139.99;1139.99;1139.99;1139.99;1069.99;1069.99;1069.99;1069.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1094.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;1079.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;848.99;848.99;848.99;848.99
21;PCYes PM163200D4BR (RGB);https://meupc.net/peca/1n5xQv/memoria-pcyes-pm163200d4br-pm163200d4br;941.06;799.90;49.99;1x16 GB;16;1n5xQv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;869.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;829.99;759.99;759.99;829.99;829.99;829.99;829.99;769.90;769.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90;699.90;699.90;699.90;699.90;699.90;799.90;799.90;799.90;799.90;799.90;799.90;799.90
22;Corsair Vengeance RGB Pro SL (RGB);https://meupc.net/peca/cuX6s4/memoria-corsair-vengeance-rgb-pro-sl-cmh16gx4m2e3200c16w;1552.93;1319.99;82.5;2x8 GB;16;cuX6s4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1049.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1209.99;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1059.00;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1089.99;1199.99;1199.99;1199.99;1199.99;1199.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1319.99;1189.90;1189.90;1189.90;1189.90;1189.90;1199.90;1199.90;1199.90;1199.90;1199.90;1199.90
23;Rise Mode Aura RGB (RGB);https://meupc.net/peca/biV7U9/memoria-rise-mode-aura-rgb-rmd4ab16g3200argb;917.60;779.99;48.75;1x16 GB;16;biV7U9;;;;;;;;;;;;;;;;;;;;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;601.99;;;;;;;;;;;;866.61;866.61;866.61;601.99;866.61;866.61;866.61;989.91;989.91;989.91;989.91;989.91;989.91;1237.41;1237.41;1237.41;1237.41;984.99;984.99;935.99;935.99;935.99;842.99;842.99;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;1237.41;842.99;842.99;842.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;1237.41;849.99;849.99;849.99;849.99;849.99;849.99;849.99;1237.41;1237.41;1237.41;1237.41;1237.41;1229.90;1229.90;1129.90;1129.90;1129.90;1129.90;1129.90;1129.90;1129.90;1129.90;1229.90;1229.90;1129.90;1129.90;1229.90;1229.90;1229.90;1229.90;1229.90;1059.99;1059.99;1059.99;1059.99;973.90;973.90;973.90;973.90;973.90;973.90;973.90;844.99;844.99;844.99;844.99;844.99;879.90;879.90;869.90;869.90;869.90;869.90;869.90;869.90;869.90;869.90;829.99;829.99;829.99;829.99;779.90;779.90;779.90;779.90;779.90;779.90;779.90;779.90;779.90;779.90;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99;779.99
24;Corsair Vengeance RGB RS (RGB);https://meupc.net/peca/gQ2o6K/memoria-corsair-vengeance-rgb-rs-cmg16gx4m1e3200c16;1223.52;1039.99;65.0;1x16 GB;16;gQ2o6K;;679.00;669.99;669.99;669.99;669.99;669.99;519.99;669.99;669.99;673.00;673.00;746.00;745.00;711.35;711.35;745.00;745.00;745.00;745.00;759.90;759.90;759.90;839.90;839.90;839.90;839.90;839.90;839.90;866.00;866.00;898.00;898.00;557.50;898.00;897.00;897.00;896.00;896.00;896.00;897.00;897.00;897.00;897.00;897.00;897.00;998.00;998.00;854.90;854.90;854.90;854.90;854.90;899.99;899.99;899.99;899.99;899.99;1119.99;1119.99;1298.00;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1099.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1119.99;1129.00;1149.90;1149.90;1149.90;1149.90;1149.90;1209.99;1209.99;1209.99;1209.99;1139.99;1139.99;1139.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1032.84;1159.99;1159.99;1159.99;1159.99;1159.99;1159.99;1159.99;1099.99;1099.99;1099.99;1099.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;949.99;949.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;899.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99;1039.99
25;Crucial CT16G4DFRA32A (Verde);https://meupc.net/peca/Cqz7v9/memoria-crucial-ct16g4dfra32a;799.99;799.99;50.0;1x16 GB;16;Cqz7v9;;459.00;459.00;459.00;459.00;459.00;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;548.00;548.00;379.90;379.90;560.00;560.00;560.00;560.00;579.00;579.00;579.00;579.00;560.00;560.00;579.00;579.00;379.90;379.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;647.90;729.99;729.99;729.99;729.99;729.99;729.99;729.99;729.99;379.90;729.99;729.99;729.99;729.99;729.99;729.99;759.90;759.90;759.90;759.90;869.00;949.89;949.89;949.89;949.89;949.89;949.89;949.89;949.89;949.89;899.75;899.75;899.75;899.75;949.89;949.89;949.89;949.89;949.89;949.89;529.00;1079.00;998.00;998.00;998.00;998.00;998.00;998.00;1099.49;999.99;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;750.00;760.00;751.00;751.00;789.00;912.00;950.00;950.00;760.00;760.00;950.00;950.00;950.00;949.00;949.00;751.00;751.00;751.00;751.00;751.00;751.00;879.00;870.00;870.00;870.00;870.00;950.00;950.00;950.00;950.00;950.00;950.00;937.87;849.99;760.00;760.00;760.00;760.00;760.00;760.00;760.00;804.00;804.00;804.00;804.00;804.00;749.99;749.99;749.99;749.99;749.99;739.00;739.00;749.99;749.99;749.99;749.99;725.00;725.00;749.99;749.99;749.99;749.99;749.99;765.00;799.99;799.99
26;Geil Orion (Vermelho);https://meupc.net/peca/Lg3we4/memoria-geil-orion-gaor416gb3200c16bsc;1164.59;989.90;61.87;1x16 GB;16;Lg3we4;;449.99;449.99;449.99;449.99;449.99;449.99;449.99;449.99;;;;;;;;;;;;;;;;;;;;;459.99;;;;;;;;;;;;;;;559.99;;;;;;;;;;;;;;;;;;;;;;;;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1099.99;1045.90;1045.90;1045.90;1045.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;799.90;799.90;799.90;799.90;799.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;989.90;1329.99;699.99;699.99
28;Kingston KVR32N22S8-16 (Verde);https://meupc.net/peca/EtExZp/memoria-kingston-kvr32n22s8-16-kvr32n22s8-16;809.00;809.00;50.56;1x16 GB;16;EtExZp;;339.99;389.90;375.00;375.00;375.00;369.90;293.49;375.00;420.00;389.90;386.00;389.90;449.80;449.90;389.90;389.90;389.90;389.90;389.90;519.83;375.00;375.00;389.90;399.90;399.90;429.90;;;;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;728.19;579.00;579.00;549.90;549.90;549.90;549.90;549.90;579.00;549.90;524.57;549.90;620.00;620.00;665.00;665.00;665.00;699.99;650.00;650.00;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;719.99;860.00;860.00;860.00;728.19;803.56;803.56;845.00;638.17;711.30;845.00;845.00;845.00;845.00;845.00;886.00;886.00;886.00;886.00;886.00;886.00;850.00;850.00;849.00;822.00;822.00;822.00;803.56;780.00;845.00;845.00;849.00;649.15;649.15;823.53;649.15;649.15;823.53;823.53;823.53;823.53;823.53;823.53;823.53;823.53;950.00;950.00;950.00;950.00;950.00;885.50;950.00;950.00;950.00;950.00;974.96;974.96;974.96;974.96;974.96;974.96;974.96;974.96;974.95;974.95;974.95;974.95;974.95;974.95;974.95;947.75;947.75;947.75;947.75;947.75;940.00;940.00;940.00;940.00;940.00;940.00;940.00;890.00;890.00;868.00;868.00;833.00;833.00;833.00;740.00;740.00;703.00;740.00;740.00;740.00;740.00;740.00;755.00;755.00;755.00;755.00;755.00;755.00;820.00;770.00;770.00;820.00;820.00;820.00;809.00
29;Hiksemi Armor (Preto);https://meupc.net/peca/HuYmV7/memoria-hiksemi-armor-hsc416u32d2;1164.69;989.99;61.87;1x16 GB;16;HuYmV7;;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;459.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;579.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;759.99;989.99;989.99;989.99
30;XPG GAMMIX D35 (Branco);https://meupc.net/peca/bS93Yw/memoria-xpg-gammix-d35-ax4u320016g16aswhd35;1175.28;998.99;62.44;1x16 GB;16;bS93Yw;;599.99;599.99;599.99;599.99;599.99;599.99;599.99;521.91;521.91;521.91;521.91;521.91;521.91;521.91;521.91;521.91;528.21;528.21;533.61;533.61;533.61;749.99;749.99;749.99;749.99;749.99;749.99;929.99;929.99;547.99;547.99;547.99;547.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;699.99;599.99;599.99;599.99;599.99;599.99;599.99;599.99;799.99;799.99;799.99;799.99;799.99;949.99;1049.99;1049.99;799.99;799.99;799.99;1049.99;1199.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;970.99;970.99;970.99;970.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;799.99;799.99;999.99;919.99;919.99;919.99;849.90;849.90;970.99;970.99;899.99;899.99;899.99;899.99;899.99;899.99;999.99;839.99;839.99;839.99;839.99;809.90;809.90;999.99;999.99;999.99;999.99;999.99;999.99;809.90;809.90;809.90;809.90;809.90;999.99;999.99;999.99;859.90;859.90;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;899.90;899.90;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;999.99;849.90;849.90;849.90;849.90;849.90;1099.90;1099.90;1099.90;1099.90;1099.90;1079.99;1079.90;1079.90;1079.90;1079.90;1079.90;1079.90;1079.90;1079.90;1079.90;999.90;999.90;998.99;998.99;998.99;998.99
31;Kingston Fury Beast RGB (RGB);https://meupc.net/peca/45stnY/memoria-kingston-fury-beast-rgb-kf432c16bb12a16;949.99;949.99;59.37;1x16 GB;16;45stnY;579.00;579.00;599.00;573.00;573.00;619.99;399.90;511.32;619.99;619.99;619.99;619.99;619.99;688.99;688.99;688.99;689.90;689.90;689.90;689.90;550.00;749.00;758.99;754.00;758.99;758.99;758.99;758.99;800.55;890.91;890.91;890.91;799.99;799.99;799.99;750.00;890.00;850.00;799.99;799.99;799.99;799.99;890.91;890.91;890.91;890.91;890.91;890.91;890.91;890.91;890.91;930.05;998.00;998.00;998.00;1029.00;1029.00;999.00;999.00;999.00;998.00;998.00;998.00;998.00;998.00;998.00;998.00;998.00;998.00;998.00;1178.99;1178.99;1148.99;1148.99;1148.99;1099.00;1099.00;1089.00;1078.99;1078.99;1078.99;1078.99;999.00;999.00;999.00;1078.99;1067.00;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;1098.99;999.00;999.00;1098.99;1098.99;1148.99;1148.99;1148.99;1138.99;999.00;999.00;999.00;998.99;914.00;998.99;999.00;999.00;998.99;799.99;1176.99;988.00;988.00;988.00;1199.99;1199.99;1199.99;999.00;999.00;1022.00;1022.00;999.00;1022.00;1022.00;1022.00;1022.00;999.99;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1022.00;1011.00;999.99;999.99;999.99;999.99;970.00;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;949.99;899.99;899.99;949.99;970.00;970.00;970.00;970.00;970.00;949.99;949.99;949.99;949.99;949.99
